Rank,Anglex,Angley,Anglez,Transi,Transj,Transk,total,rPSC,rPSC_gain,rPSC_penalty,ELEC ,RecACE,LCARMSD,NearNat
1, -1.047198,0.674054,1.013609,118,5,98,4393.456543,4200.000000,6405.000000,-2205.000000,-166.745483,360.202087,29.697838,0
2, 0.785398,0.203748,0.590255,114,115,103,4372.515137,3802.000000,6277.000000,-2475.000000,250.294800,320.220001,33.389858,0
3, 1.047198,2.180315,-1.357379,2,16,97,4043.755615,4334.000000,6224.000000,-1890.000000,67.114624,-357.359070,34.069386,0
4, -2.356194,1.440580,2.260026,5,119,99,3994.509033,3669.000000,5109.000000,-1440.000000,28.652100,296.856873,20.279587,0
5, 2.356194,1.195355,1.200319,4,116,100,3956.427246,3479.000000,5054.000000,-1575.000000,218.475769,258.951538,21.180090,0
6, 0.000000,0.700570,1.559208,1,116,98,3944.802979,3776.000000,5531.000000,-1755.000000,113.842102,54.960907,23.399248,0
7, -1.308997,0.674054,1.013609,118,5,98,3923.654297,3722.000000,6197.000000,-2475.000000,-89.254486,290.908569,29.697838,0
8, 0.000000,2.073035,2.027405,118,10,98,3923.632324,3990.000000,5655.000000,-1665.000000,238.901917,-305.269592,32.774097,0
9, 1.308997,2.979456,-1.009304,5,116,92,3920.159180,3345.000000,5280.000000,-1935.000000,89.586212,485.572937,17.177090,0
10, -0.785398,1.045978,0.343692,118,7,97,3888.078369,3871.000000,4861.000000,-990.000000,-49.044250,66.122482,30.528049,0
11, -1.570796,1.599406,1.426070,2,109,100,3866.162354,3446.000000,4841.000000,-1395.000000,179.956970,240.205322,23.980934,0
12, 0.523599,0.685216,-1.712745,13,114,99,3863.663574,3365.000000,6695.000000,-3330.000000,435.465332,63.198242,11.964744,0
13, 1.308997,2.664082,-1.071402,8,116,93,3828.236084,3338.000000,4688.000000,-1350.000000,115.935333,374.300842,13.762689,0
14, 1.570796,1.413430,2.550734,16,119,100,3817.050293,3563.000000,5093.000000,-1530.000000,225.341187,28.708862,12.671791,0
15, 0.523599,0.379747,-1.713059,15,113,101,3811.897705,3526.000000,4966.000000,-1440.000000,134.558411,151.339401,12.888779,0
16, 1.047198,0.619654,-2.216909,13,114,99,3811.162109,3304.000000,6004.000000,-2700.000000,193.594849,313.567352,11.964744,0
17, 1.047198,1.440580,2.260026,6,113,99,3793.343750,2958.000000,6603.000000,-3645.000000,180.991211,654.352661,18.438940,0
18, 2.094395,2.579248,-2.364801,109,109,102,3770.098633,3505.000000,4270.000000,-765.000000,2.343140,262.755310,38.960609,0
19, -0.523599,0.914445,2.687814,117,113,98,3754.396484,3428.000000,4373.000000,-945.000000,173.831635,152.564850,27.872919,0
20, -1.570796,2.299159,2.264663,115,20,116,3738.381348,3492.000000,4302.000000,-810.000000,61.548950,184.832397,51.875046,0
21, -1.047198,1.045978,0.343692,117,7,97,3712.687012,3588.000000,5703.000000,-2115.000000,137.250305,-12.563141,31.533674,0
22, 1.308997,1.756530,-2.105156,115,0,91,3696.907715,3452.000000,4442.000000,-990.000000,-50.198807,295.106445,29.841471,0
23, 1.047198,1.168678,2.108595,7,111,101,3688.336670,3033.000000,4923.000000,-1890.000000,338.215271,317.121338,19.151363,0
24, 1.570796,1.699788,2.452890,15,118,98,3685.166016,3359.000000,3944.000000,-585.000000,144.358734,181.807281,10.654850,0
25, -1.832596,2.349581,-2.702517,119,119,92,3680.863281,3166.000000,4561.000000,-1395.000000,57.760910,457.102325,24.913151,0
26, -2.879793,0.615174,-0.666022,10,113,109,3669.748535,3548.000000,5123.000000,-1575.000000,38.526367,83.222137,24.100365,0
27, 0.785398,2.108018,1.311430,16,119,96,3666.424561,3209.000000,4244.000000,-1035.000000,201.788940,255.635437,9.049187,0
28, -1.308997,1.025536,1.576859,4,6,98,3663.471191,3446.000000,5156.000000,-1710.000000,-48.786133,266.257385,24.508221,0
29, -1.308997,2.349581,-2.702517,3,118,93,3657.924316,3297.000000,4512.000000,-1215.000000,-34.947449,395.871887,20.066319,0
30, -2.356194,2.396274,-1.959260,8,117,92,3651.448486,3211.000000,3976.000000,-765.000000,124.105377,316.342957,13.868521,0
31, 0.785398,2.719179,-1.780644,7,114,94,3650.209473,3100.000000,5575.000000,-2475.000000,39.744263,510.465332,14.995391,0
32, 1.832596,1.335669,0.897240,115,114,105,3640.384277,3277.000000,6337.000000,-3060.000000,94.114502,269.269836,33.417664,0
33, 2.879793,2.979456,-1.009304,8,113,94,3630.092041,3073.000000,4378.000000,-1305.000000,262.170807,294.921204,13.897307,0
34, -0.523599,0.591903,2.010408,3,6,97,3623.050537,3248.000000,5093.000000,-1845.000000,-80.593506,455.644012,25.050995,0
35, 1.832596,1.766067,2.153843,12,116,98,3620.597656,3186.000000,4221.000000,-1035.000000,138.937286,295.660278,12.088272,0
36, -0.523599,0.685216,-1.712745,115,110,97,3618.331055,3280.000000,4945.000000,-1665.000000,81.292023,257.039124,30.249998,0
37, -2.356194,0.674054,1.013609,115,8,98,3614.059570,3410.000000,5660.000000,-2250.000000,-7.031311,211.090912,34.416603,0
38, 1.047198,1.545873,-1.877082,117,1,91,3613.776123,3147.000000,5442.000000,-2295.000000,49.986267,416.789856,27.844688,0
39, -1.570796,0.080730,-2.622036,6,117,101,3613.878418,3475.000000,5320.000000,-1845.000000,-13.155334,152.033600,20.015036,0
40, -0.785398,2.041297,-2.664597,6,117,95,3608.490234,3125.000000,5240.000000,-2115.000000,92.132233,391.357849,16.809885,0
41, -2.356194,1.168678,2.108595,3,118,99,3607.171387,3293.000000,4553.000000,-1260.000000,-12.952484,327.123901,22.048292,0
42, -1.308997,0.080730,-2.622036,5,116,101,3600.266357,3417.000000,5622.000000,-2205.000000,-39.282471,222.548889,20.813858,0
43, 1.047198,2.664082,-1.071402,6,115,93,3598.712646,3223.000000,5563.000000,-2340.000000,76.910339,298.802338,15.988654,0
44, 0.523599,2.108018,1.311430,15,117,96,3598.289795,3304.000000,4249.000000,-945.000000,-29.612915,323.902527,8.384902,0
45, -1.047198,2.251330,-2.330739,3,115,94,3586.791260,3342.000000,4917.000000,-1575.000000,-35.394012,280.185272,19.725645,0
46, 0.261799,0.992645,-1.723759,11,113,97,3582.837402,3407.000000,5027.000000,-1620.000000,139.160583,36.676758,12.124256,0
47, 2.617994,1.014500,0.906702,5,116,101,3582.686523,3382.000000,4822.000000,-1440.000000,161.164246,39.522095,20.813858,0
48, -0.261799,2.343981,-1.040456,110,109,99,3581.839844,3283.000000,4093.000000,-810.000000,61.640137,237.199768,36.767693,0
49, 0.785398,1.870545,-2.976234,0,14,111,3579.479980,3151.000000,5986.000000,-2835.000000,119.930908,308.549042,40.775414,0
50, 0.785398,1.440580,2.260026,5,111,99,3578.464355,3090.000000,4755.000000,-1665.000000,69.315094,419.149261,19.793268,0
51, 2.094395,1.195355,1.200319,117,1,98,3573.886230,2875.000000,4990.000000,-2115.000000,254.875244,444.011047,29.025297,0
52, -2.356194,2.588535,-2.976617,1,117,93,3570.635254,3190.000000,3910.000000,-720.000000,57.180267,323.455017,22.179331,0
53, -0.785398,0.496451,0.593859,6,110,100,3567.549805,3201.000000,4416.000000,-1215.000000,71.540466,295.009216,19.670246,0
54, -0.785398,0.831641,0.616218,118,6,98,3566.486084,3357.000000,5967.000000,-2610.000000,-53.732605,263.218750,30.242973,0
